stop_name,stop_lat,stop_lon,routes_serving
Baker Building,33.78034577,-84.39922995,"Green, Weekend Atlantic Station, Weekend Midtown"
Kendeda Building,33.77836,-84.39956,"Circulator, Green, Red, Weekend Atlantic Station"
Hemphill Ave & Curran St,33.7846538176,-84.4059668386,"Green, Weekend Atlantic Station"
Center St. Apartments & Hemphill Ave,33.77971,-84.402416,"Green, Northside Dr. - Atlantic Station, Red"
GT Competition Center (575 14th Street),33.78636825,-84.40532109,Green
14th St & State St,33.78613,-84.3988,Green
GTRI Conference Center,33.786282,-84.395591,Green
McCamish & 10th St.,33.7816116884,-84.392611347,Green
Graduate Living Center,33.781533,-84.396217,"Green, Weekend Midtown"
Cherry Emerson,33.778179,-84.397328,"Emory, Red, Weekend Midtown"
10th St & MARTA EB,33.781368,-84.386411,Emory
Piedmont Road EB,33.791475,-84.374274,Emory
Clifton Road at Wesley EB,33.803435,-84.333579,Emory
HSRB Emory,33.7941132676,-84.3172316994,Emory
Woodruff Circle Transit Hub,33.792915,-84.321659,Emory
Clifton Road at Wesley WB,33.803577,-84.333504,Emory
Piedmont Road WB,33.79188,-84.374156,Emory
10th St & MARTA WB,33.781522,-84.386407,Emory
Klaus Building EB,33.777097,-84.395484,"Emory, Red, Weekend Midtown"
Klaus Building WB,33.777485,-84.395576,"Circulator, Emory, Red, Weekend Midtown"
Nanotechnology,33.77832,-84.398084,"Circulator, Emory, Red, Weekend Midtown"
MARTA Midtown Station,33.7808216228,-84.3864059203,"Gold, Weekend Midtown"
Technology Square WB,33.77692,-84.38978,Gold
5th Street Bridge WB,33.776943,-84.391707,Gold
5th Street Bridge EB,33.7768308694,-84.3920206208,Gold
Technology Square EB,33.7768,-84.38975,Gold
College of Business,33.77677,-84.387753,Gold
Academy of Medicine,33.778536,-84.38724,Gold
Clough Commons,33.775274,-84.396138,Gold
Publix at the Plaza,33.78067,-84.388671,"Gold, Weekend Midtown"
North Avenue Apts - To West Campus,33.769921,-84.391754,"Red, Weekend Midtown"
Brown Residence Hall,33.771857,-84.39192,"Circulator, Red, Weekend Midtown"
Techwood Dr & Field Residence Hall,33.77406,-84.39192,"Circulator, Red, Weekend Midtown"
Techwood & 5th  - North,33.776757,-84.39206,"Circulator, Red, Weekend Midtown"
Russ Chandler Stadium,33.77699,-84.39405,"Circulator, Red, Weekend Midtown"
8th St & Hemphill Ave ,33.779631,-84.40274,"Blue, Red, Weekend Atlantic Station"
Paper Tricentennial,33.780598,-84.404657,Red
West Village,33.779616,-84.404709,"Blue, Red, Weekend Atlantic Station"
Ferst Dr & Hemphill Ave,33.77845,-84.400824,"Red, Weekend Atlantic Station"
Techwood Dr & 5th St - South,33.7764641679,-84.3920991279,"Red, Weekend Midtown"
Techwood Dr & Bobby Dodd Way,33.7743564577,-84.3919958619,"Red, Weekend Midtown"
COP & North Ave.,33.7706651711,-84.3921848307,"Blue, Red, Weekend Midtown"
Couch Park,33.77796239,-84.40201458,"Blue, Circulator, Weekend Atlantic Station"
CRC & Stamps Health,33.7751,-84.40265,"Blue, Circulator"
North Avenue Apts - To East Campus,33.770206,-84.391765,Blue
Fitten Hall,33.778273,-84.404191,"Blue, Weekend Atlantic Station"
Ferst Drive & Student Center,33.7734035096,-84.3995830602,"Blue, Circulator"
Weber Building Loop,33.77315003,-84.39701207,"Blue, Circulator, NARA/Science Sq"
Ferst Dr & Cherry St,33.77228,-84.39548,Blue
Student Center,33.7734278724,-84.3991730437,Blue
Exhibition Hall,33.774923097,-84.4025365214,"Blue, Northside Dr. - Atlantic Station"
NARA,33.7707537353,-84.4035483233,NARA/Science Sq
Science Square,33.769451046,-84.4026991766,NARA/Science Sq
Krone Engineered Biosystems Building on State St.,33.780209,-84.399009,"Weekend Atlantic Station, Weekend Midtown"
10th St & Hemphill Ave,33.78162,-84.40408,Weekend Atlantic Station
16th & Village St.,33.788701,-84.402862,"Northside Dr. - Atlantic Station, Weekend Atlantic Station"
10th St at Holly St,33.781456,-84.396152,Weekend Midtown
Hemphill Ave & Curran St SB,33.7846335636,-84.4061044901,Weekend Atlantic Station
MARTA Stop Northside Dr. @ 10th St.,33.781852,-84.40761,Northside Dr. - Atlantic Station
MARTA Stop 10th St. @ Northside Dr.,33.781624,-84.407129,Northside Dr. - Atlantic Station
MARTA Stop (17th & State),33.7913832611,-84.399303096,Northside Dr. - Atlantic Station
MARTA Stop (17th & Village),33.789854,-84.402643,Northside Dr. - Atlantic Station
MARTA Stop (17th & Bishop),33.791713,-84.405389,Northside Dr. - Atlantic Station
MARTA Stop (17th & Village),33.789854,-84.402643,Weekend Atlantic Station
MARTA Stop (17th & Bishop),33.791713,-84.405389,Weekend Atlantic Station
MARTA Stop (Twelve Hotel),33.791328,-84.398494,Weekend Atlantic Station
Fowler Street NB,33.7765386276,-84.393579518,Gold
Fowler Street SB,33.7765417384,-84.3936997556,Gold
Clifton Road & Gatewood EB,33.797186,-84.322526,Emory
Clifton Road & Gatewood WB,33.796905,-84.322092,Emory
Georgia Tech Police Department,33.781098,-84.403725,Green
Weber Building,33.772782,-84.396964,Blue
